Logging to logs/lh_train_1_after
--------------------------------------
| eval_7_sr               | 0        |
| fps                     | 27       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.00264  |
| low_level_sr            | 0.374    |
| n_updates               | 6        |
| pi_grad_norm            | 5.5      |
| policy_loss             | -0.00671 |
| priority_max            | 0.864    |
| priority_mean           | 0.0242   |
| priority_std            | 0.0575   |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 0.771    |
| serial_timesteps        | 6144     |
| success_rate            | 0.31     |
| supervision_action_loss | nan      |
| time_elapsed            | 1.67e+04 |
| total_timesteps         | 458752   |
| value_loss              | 0.0449   |
| vf_grad_norm            | 1.76     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.58     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.46     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.37     |
| adv_max                 | 6.88     |
| adv_min                 | -6.6     |
| aux_task_loss           | 1.79     |
| clipped_ratio           | 0.214    |
| cur2rec_max             | 1.01     |
| cur2rec_ratio           | 0.991    |
| cur_max_blocks          | 7        |
| entropy                 | 9.98     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 0.882    |
| eval_3_sr               | 0.633    |
| eval_5_sr               | 0.0938   |
| eval_7_sr               | 0        |
| fps                     | 27       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.00275  |
| low_level_sr            | 0.38     |
| n_updates               | 7        |
| pi_grad_norm            | 5.3      |
| policy_loss             | -0.00791 |
| priority_max            | 0.993    |
| priority_mean           | 0.0259   |
| priority_std            | 0.0692   |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 0.813    |
| serial_timesteps        | 7168     |
| success_rate            | 0.34     |
| supervision_action_loss | nan      |
| time_elapsed            | 1.9e+04  |
| total_timesteps         | 524288   |
| value_loss              | 0.0519   |
| vf_grad_norm            | 1.84     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.63     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.52     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.34     |
| adv_max                 | 6.96     |
| adv_min                 | -6.58    |
| aux_task_loss           | 1.76     |
| clipped_ratio           | 0.203    |
| cur2rec_max             | 1.01     |
| cur2rec_ratio           | 0.992    |
| cur_max_blocks          | 7        |
| entropy                 | 10.1     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 0.783    |
| eval_3_sr               | 0.594    |
| eval_5_sr               | 0.156    |
| eval_7_sr               | 0.0156   |
| fps                     | 28       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.00275  |
| low_level_sr            | 0.389    |
| n_updates               | 8        |
| pi_grad_norm            | 6.05     |
| policy_loss             | -0.00655 |
| priority_max            | 1.05     |
| priority_mean           | 0.0249   |
| priority_std            | 0.075    |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 0.792    |
| serial_timesteps        | 8192     |
| success_rate            | 0.32     |
| supervision_action_loss | nan      |
| time_elapsed            | 2.12e+04 |
| total_timesteps         | 589824   |
| value_loss              | 0.0566   |
| vf_grad_norm            | 2.29     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.66     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.59     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.39     |
| adv_max                 | 6.5      |
| adv_min                 | -6.07    |
| aux_task_loss           | 1.78     |
| clipped_ratio           | 0.209    |
| cur2rec_max             | 1.01     |
| cur2rec_ratio           | 0.99     |
| cur_max_blocks          | 7        |
| entropy                 | 10.2     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 0.905    |
| eval_3_sr               | 0.688    |
| eval_5_sr               | 0.156    |
| eval_7_sr               | 0.0312   |
| fps                     | 28       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.00315  |
| low_level_sr            | 0.4      |
| n_updates               | 9        |
| pi_grad_norm            | 5.38     |
| policy_loss             | -0.0086  |
| priority_max            | 1        |
| priority_mean           | 0.0276   |
| priority_std            | 0.0834   |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 0.803    |
| serial_timesteps        | 9216     |
| success_rate            | 0.4      |
| supervision_action_loss | nan      |
| time_elapsed            | 2.35e+04 |
| total_timesteps         | 655360   |
| value_loss              | 0.0644   |
| vf_grad_norm            | 2.4      |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.65     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.56     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.45     |
| adv_max                 | 6.52     |
| adv_min                 | -6.25    |
| aux_task_loss           | 1.82     |
| clipped_ratio           | 0.192    |
| cur2rec_max             | 1.02     |
| cur2rec_ratio           | 0.993    |
| cur_max_blocks          | 7        |
| entropy                 | 10.2     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 0.912    |
| eval_3_sr               | 0.641    |
| eval_5_sr               | 0.281    |
| eval_7_sr               | 0.0547   |
| fps                     | 28       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.00319  |
| low_level_sr            | 0.411    |
| n_updates               | 10       |
| pi_grad_norm            | 6.04     |
| policy_loss             | -0.00796 |
| priority_max            | 1.08     |
| priority_mean           | 0.0261   |
| priority_std            | 0.0867   |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 0.862    |
| serial_timesteps        | 10240    |
| success_rate            | 0.37     |
| supervision_action_loss | nan      |
| time_elapsed            | 2.58e+04 |
| total_timesteps         | 720896   |
| value_loss              | 0.0691   |
| vf_grad_norm            | 2.41     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.7      |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.54     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.58     |
| adv_max                 | 6.5      |
| adv_min                 | -6.2     |
| aux_task_loss           | 1.81     |
| clipped_ratio           | 0.19     |
| cur2rec_max             | 1.01     |
| cur2rec_ratio           | 0.993    |
| cur_max_blocks          | 7        |
| entropy                 | 10.3     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 1.16     |
| eval_3_sr               | 0.656    |
| eval_5_sr               | 0.336    |
| eval_7_sr               | 0.0625   |
| fps                     | 28       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.00307  |
| low_level_sr            | 0.422    |
| n_updates               | 11       |
| pi_grad_norm            | 5.91     |
| policy_loss             | -0.0089  |
| priority_max            | 1.1      |
| priority_mean           | 0.0278   |
| priority_std            | 0.0934   |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 0.911    |
| serial_timesteps        | 11264    |
| success_rate            | 0.47     |
| supervision_action_loss | nan      |
| time_elapsed            | 2.81e+04 |
| total_timesteps         | 786432   |
| value_loss              | 0.0706   |
| vf_grad_norm            | 2.56     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.64     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.56     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.53     |
| adv_max                 | 6.41     |
| adv_min                 | -6.15    |
| aux_task_loss           | 1.84     |
| clipped_ratio           | 0.197    |
| cur2rec_max             | 1.03     |
| cur2rec_ratio           | 0.994    |
| cur_max_blocks          | 7        |
| entropy                 | 10.3     |
| ep_len_mean             | 30       |
